"7510-00-244-1169","Office Supplies & Paper Special Order","Slide Fastener","Has a 4"" binding capacity. Three-piece base has 2-3/4"" spacing between prongs. Slide fastener features compressor type closure and is intended for use in binding together papers and similar printed matter. Made of tempered steel with corrosion-resistant f",9.45,"BX","H"
"7510-00-264-4612","Office Supplies & Paper Special Order","Wax Pencil","Color:  White, Lead Size:  Thick Spiral paper-wrapped wax marking pencil writes easily on china, glass, photographs, cellophane and other smooth surfaces.",6.72,"DZ","H"
"7510-00-264-5478","Office Supplies & Paper Special Order","Staples","For use with Bostitch B-8 Staplers only. Light-duty staples with chisel points. Pre-formed and ready for use in office staplers, these steel staples are rust-resistant. (Crown width and leg length are shown below.)",1.18,"BX","H"
"7510-00-266-5016","Office Supplies & Paper Special Order","Waterproof Tape","Meets ASTM D 5486/D 5486M-96  specifications This ""original 100 MPH"" high-strength waterproof tape can withstand temperatures between -65 to 160° F. Features a woven cloth backing for exterior sealing. 3"" core diameter. 12-month maximum shelf life (extend",12.77,"RO","H"
"7510-00-266-6694","Office Supplies & Paper Special Order","Masking Tape","General-purpose tape with a flat paper backing temporarily masks surfaces when straight line separation is desired during painting. Resistant to moisture and solvents. Has a 3"" core. 12-month maximum shelf life (extendable).",7.16,"RO","H"
"7510-00-266-6707","Office Supplies & Paper Special Order","Masking Tape","General-purpose tape protects contoured or rounded surfaces from being marred by paint, varnish, or other finishing materials. Crepe-paper backing adds strength, which is invaluable during tape removal. This tape is an excellent choice for light-duty bund",6.88,"RO","H"
"7510-00-266-6708","Office Supplies & Paper Special Order","Masking Tape","General-purpose tape protects contoured or rounded surfaces from being marred by paint, varnish, or other finishing materials. Crepe-paper backing adds strength, which is invaluable during tape removal. This tape is an excellent choice for light-duty bund",8.35,"RO","H"
"7510-00-266-6709","Office Supplies & Paper Special Order","Masking Tape","General-purpose tape protects contoured or rounded surfaces from being marred by paint, varnish, or other finishing materials. Crepe-paper backing adds strength, which is invaluable during tape removal. This tape is an excellent choice for light-duty bund",2.48,"RO","H"
"7510-00-266-6710","Office Supplies & Paper Special Order","Masking Tape","General-purpose tape protects contoured or rounded surfaces from being marred by paint, varnish, or other finishing materials. Crepe-paper backing adds strength, which is invaluable during tape removal. This tape is an excellent choice for light-duty bund",3.25,"RO","H"
"7510-00-266-6711","Office Supplies & Paper Special Order","Masking Tape","General-purpose tape protects contoured or rounded surfaces from being marred by paint, varnish, or other finishing materials. Crepe-paper backing adds strength, which is invaluable during tape removal. This tape is an excellent choice for light-duty bund",1.38,"RO","H"
"7510-00-266-6712","Office Supplies & Paper Special Order","Masking Tape","(NFES 0770). General-purpose tape protects contoured or rounded surfaces from being marred by paint, varnish, or other finishing materials. Crepe-paper backing adds strength, which is invaluable during tape removal. This tape is an excellent choice for li",1.57,"RO","H"
"7510-00-266-6714","Office Supplies & Paper Special Order","Masking Tape","General-purpose tape protects contoured or rounded surfaces from being marred by paint, varnish, or other finishing materials. Crepe-paper backing adds strength, which is invaluable during tape removal. This tape is an excellent choice for light-duty bund",0.9,"RO","H"
"7510-00-266-6715","Office Supplies & Paper Special Order","Packaging Tape","This medium-strength tape is waterproof and weather-resistant. Features a plastic film backing. Tape is for general use in sealing fiberboard boxes and covering exterior labels. Has a 3"" core. Meets ASTM D 5486, Type I, Class 2. 12-month maximum shelf lif",3.26,"RO","H"
"7510-00-272-6886","Office Supplies & Paper Special Order","Thumbtack","Corrosion-resistant thumbtack has a bright metal head. For use on drawing boards and bulletin boards. Made of nickel-plated steel.",0.86,"BX","H"
"7510-00-272-6887","Office Supplies & Paper Special Order","Thumbtack","Corrosion-resistant thumbtack has a bright metal 1/2""  head. For use on drawing boards and bulletin boards. Made of nickel-plated steel.",1.1,"BX","H"
"7510-00-272-9409","Office Supplies & Paper Special Order","Staples","Heavy-duty staples with chisel points. Pre-formed and ready for use in office staplers, these steel staples are rust-resistant. (Crown width and leg length are shown below.)",7.95,"BX","H"
"7510-00-272-9410","Office Supplies & Paper Special Order","Staples","Heavy-duty staples with chisel points. Pre-formed and ready for use in office staplers, these steel staples are rust-resistant. (Crown width and leg length are shown below.)",9.2,"BX","H"
"7510-00-272-9662","Office Supplies & Paper Special Order","Staples","(NFES #0773) Standard duty staples for use in Stapler NSNs 7520-00-281-5895, 7520-00-139-6170, 7520-01-315-9854,7520-00-240-5727, 7520-01-407-9431 and 7520-00-281-5896. Pre-formed and ready for use in office staplers, these steel staples are rust-resistan",1.27,"BX","H"
"7510-00-272-9805","Office Supplies & Paper Special Order","Transparent Envelope","Flexible protector is open-ended with a double safety fold. Perfect for cards, photographs, blueprints and papers. Bound with black plastic edging on three sides and features a 1/4"" metal eyelet for hanging applications.",106.97,"HD","H"
"7510-00-275-7213","Office Supplies & Paper Special Order","Carpenter's Pencil","Carpenter's-type pencil is for marking lumber. The lead extends throughout the wooden casing. Casing is flat and finished with bright-colored enamel. May be sharpened with a knife. Hardness: 997-H.",6.07,"DZ","H"
"7510-00-275-7217","Office Supplies & Paper Special Order","Staples","Heavy-duty staples with chisel points. Pre-formed and ready for use in office staplers, these steel staples are rust-resistant. (Crown width and leg length are shown below.)",4.18,"BX","H"
"7510-00-281-2700","Office Supplies & Paper Special Order","Packaging Tape","This medium-strength tape is waterproof and weather-resistant. Features a plastic film backing. Tape is for general use in sealing fiberboard boxes and covering exterior labels. Has a 3"" core. Meets ASTM D 5486, Type I, Class 2. 12-month maximum shelf lif",4.98,"RO","H"
"7510-00-281-4309","Office Supplies & Paper Special Order","Report Cover","Has a 3"" capacity. Bottom end opening; clip located on top. Two-piece 20-point pressboard binder includes metal prong fasteners and a compressor.",44.76,"BX","H"
"7510-00-281-4310","Office Supplies & Paper Special Order","Report Cover","Has a 3"" capacity. Bottom end opening; clip located on top. Two-piece 20-point pressboard binder includes metal prong fasteners and a compressor.",67.75,"BX","H"
"7510-00-281-4313","Office Supplies & Paper Special Order","Report Cover","Has a 6"" capacity. Side opening (clip on left side). Two-piece 20-point pressboard binder includes metal prong fasteners and a compressor.",46.26,"BX","H"
"7510-00-281-4314","Office Supplies & Paper Special Order","Report Cover","Has a 3"" capacity. Bottom end opening; clip located on top. Two-piece 20-point pressboard binder includes metal prong fasteners and a compressor.",45.9,"BX","H"
"7510-00-281-5234","Office Supplies & Paper Special Order","Wood Pencil","Hardness: No. 2 (Medium). Hexagonal pencil has extra-thin lead for fine-line writing. Retains point longer and requires fewer sharpening's than ordinary pencils and includes an eraser.",1.47,"DZ","H"
"7510-00-281-6180","Office Supplies & Paper Special Order","Round Ring Binder","Accommodates 8-1/2 x 11"" sheets. This binder has a rigid cover design with a leather grain finish.",3.75,"EA","H"
"7510-00-282-6926","Office Supplies & Paper Special Order","Index Tab","Tab has a 5/16"" wide skirt. Blank index tab is an excellent way to identify documents. Adhesive for easy application.",2.61,"PG","H"
"7510-00-282-8201","Office Supplies & Paper Special Order","Binder Clip","Small clip has a capacity of 1/4"". Spring-type clip holds large bundles of papers. Wire handles snap down flat to secure pages. Made of tempered steel.",0.71,"DZ","H"
"7510-00-283-0612","Office Supplies & Paper Special Order","Masking Tape","General-purpose tape with a flat paper backing temporarily masks surfaces when straight line separation is desired during painting. Resistant to moisture and solvents. Has a 3"" core. 12-month maximum shelf life (extendable).",2.27,"RO","H"
"7510-00-285-1728","Office Supplies & Paper Special Order","Marking Crayon Assortment","Paper-wrapped, wax-based crayon assortment includes a rainbow of colors: black, blue, brown, green, orange, red, violet and yellow.",0.68,"AT","H"
"7510-00-285-2567","Office Supplies & Paper Special Order","Paper Filing Binder","For filing miscellaneous papers when using a protective folder is not necessary. Consists of a single sheet of extra-heavyweight Kraft stock with prong fasteners spaced 2-3/4"" apart at the top. Features square corners and a 1-1/2"" capacity.",19.35,"HD","H"
"7510-00-285-5422","Office Supplies & Paper Special Order","Reinforcement Ring","Avoid having loose-leaf sheets accidentally ripped from binders. Use these eyelets for reinforcing the punched holes. Also ideal for repairing ripped loose-leaf holes. Eyelets are made of self-adhesive poly-vinyl.",2.16,"HD","H"
"7510-00-285-5995","Office Supplies & Paper Special Order","Binder Clip","Large clip has a capacity of 1"". Spring-type clip holds large bundles of papers. Wire handles snap down flat to secure pages. Made of tempered steel.",4.12,"DZ","H"
"7510-00-286-5790","Office Supplies & Paper Special Order","Book Ring","Plated steel ring is hinged for smooth opening and closing. Interlocking catches keep ring closed securely around bound materials.",2.24,"BX","H"
"7510-00-286-6954","Office Supplies & Paper Special Order","Spring-Back Binder","Holds 8-1/2 x 11"" or smaller sheets. Aluminum spring-back binder features easy, secure insertion of forms or papers. Hole punching is not required.",25.65,"EA","H"
"7510-00-286-7794","Office Supplies & Paper Special Order","Report Cover","Has a 3"" capacity. Side opening (clip on left side). Two-piece, durable 20-point pressboard binder with brown cloth hinge. This product does not use a compressor.",36.44,"BX","H"
"7510-00-290-2026","Office Supplies & Paper Special Order","Masking Tape","General-purpose tape with a flat paper backing temporarily masks surfaces when straight line separation is desired during painting. Resistant to moisture and solvents. Has a 3"" core. 12-month maximum shelf life (extendable).",5.35,"RO","H"
"7510-00-290-8035","Office Supplies & Paper Special Order","Strapping Tape","Polyester filament-reinforced tape is suited for light-duty bundling and packaging. Use this low-tensile-strength tape when extra flexibility is needed.  Has a 3"" core. 12-month maximum shelf life (extendable).",3.03,"RO","J"
"7510-00-290-8036","Office Supplies & Paper Special Order","Strapping Tape","Polyester filament-reinforced tape is suited for light-duty bundling and packaging. Use this low-tensile-strength tape when extra flexibility is needed.  Has a 3"" core. 12-month maximum shelf life (extendable).",3.79,"RO","H"
"7510-00-291-0140","Office Supplies & Paper Special Order","Slide Fastener Compressor","This compressor is designed to receive paper fastener base prongs and hold them securely. Intended for use with a paper fastener base with 2-3/4"" spacing between prongs. Made of tempered steel with a corrosion-resistant finish.",1.87,"HD","H"
